1	377
10	394
100	473
108	466
111	491
119	508
122	471
133	458
144	443
155	460
166	524
177	538
18	422
180	567
188	470
191	442
199	481
207	507
21	459
210	466
218	497
221	464
229	503
232	458
243	449
254	494
265	485
276	484
287	490
29	519
290	500
298	451
306	505
317	520
32	392
320	463
328	460
331	496
339	480
342	467
353	483
364	503
375	484
386	483
397	497
405	493
416	491
427	495
43	467
430	540
438	495
441	525
449	535
452	547
463	492
474	443
485	551
496	542
504	563
54	493
65	467
76	484
87	521
9	480
90	408
98	496
101	518
109	484
11	488
112	491
123	453
134	436
145	473
156	455
167	517
170	466
178	478
181	449
189	430
19	439
192	458
2	429
200	476
208	453
211	467
219	490
22	443
222	476
233	504
244	501
255	526
266	486
277	470
280	474
288	487
291	515
299	442
307	520
310	517
318	485
321	477
329	461
33	436
332	416
343	409
354	497
365	512
376	492
387	480
390	486
398	498
406	521
417	508
420	498
428	472
431	528
439	524
44	435
442	548
453	535
464	529
475	414
486	537
497	518
505	548
55	492
66	405
77	497
80	474
88	478
91	433
99	510
102	480
113	465
12	500
124	479
135	442
146	414
157	476
160	458
168	514
171	498
179	482
182	431
193	488
201	487
209	456
212	450
223	482
23	463
234	475
245	502
256	445
267	480
270	515
278	510
281	496
289	512
292	516
3	401
300	482
308	497
311	463
319	503
322	447
333	472
34	413
344	465
355	502
366	512
377	483
380	463
388	454
391	486
399	487
407	532
410	502
418	476
421	512
429	465
432	512
443	552
45	464
454	510
465	518
476	461
487	555
490	547
498	519
506	477
56	445
67	425
70	460
78	431
81	410
89	493
92	483
103	492
114	476
125	468
13	452
136	479
147	455
150	470
158	399
161	493
169	480
172	482
183	501
194	474
202	469
213	453
224	476
235	510
24	428
246	466
257	433
260	417
268	507
271	500
279	490
282	493
293	516
301	478
309	508
312	502
323	466
334	474
345	470
35	452
356	483
367	512
370	480
378	491
381	467
389	471
392	471
4	446
400	470
408	504
411	492
419	494
422	490
433	519
444	540
455	517
46	472
466	512
477	403
480	520
488	557
491	542
499	562
507	493
510	484
57	476
60	482
68	466
71	449
79	490
82	509
93	482
104	492
115	490
126	465
137	519
14	488
140	479
148	447
151	463
159	495
162	502
173	494
184	502
195	478
203	482
214	448
225	464
236	447
247	488
25	486
250	513
258	477
261	452
269	485
272	389
283	430
294	510
302	454
313	496
324	490
335	496
346	480
357	525
36	459
360	521
368	496
371	492
379	481
382	504
393	498
401	476
409	527
412	519
423	498
434	492
445	528
456	525
467	524
47	449
470	434
478	491
481	534
489	571
492	567
5	402
50	427
500	521
508	482
511	483
58	445
61	469
69	483
72	440
83	485
94	483
105	484
116	458
127	458
130	450
138	472
141	473
149	463
15	501
152	430
163	480
174	470
185	500
196	471
204	469
215	462
226	473
237	467
240	513
248	474
251	503
259	490
26	520
262	516
273	457
284	460
295	520
303	479
314	477
325	509
336	501
347	503
350	499
358	507
361	495
369	499
37	474
372	465
383	465
394	489
40	428
402	499
413	517
424	478
435	504
446	526
457	518
460	524
468	528
471	466
479	432
48	458
482	535
493	577
501	434
509	451
51	447
59	479
6	450
62	471
73	481
84	455
95	466
106	479
117	482
120	451
128	507
131	355
139	534
142	527
153	452
16	462
164	502
175	504
186	473
197	457
205	485
216	477
227	480
230	470
238	530
241	495
249	457
252	453
263	481
27	513
274	472
285	485
296	467
30	518
304	502
315	474
326	452
337	478
340	473
348	459
351	478
359	507
362	497
373	473
38	437
384	436
395	498
403	517
41	417
414	505
425	464
436	477
447	524
450	522
458	349
461	528
469	436
472	446
483	567
49	479
494	535
502	533
52	484
63	471
7	446
74	518
85	451
96	527
0	343
107	489
110	491
118	481
121	469
129	403
132	422
143	617
154	509
165	484
17	432
176	549
187	470
190	484
198	477
20	466
206	505
217	466
220	67
228	489
231	491
239	529
242	463
253	484
264	512
275	481
28	498
286	466
297	483
305	501
31	497
316	501
327	446
330	464
338	499
341	441
349	432
352	470
363	510
374	486
385	466
39	451
396	493
404	485
415	513
42	393
426	399
437	487
440	341
448	528
451	522
459	470
462	476
473	404
484	530
495	551
503	502
53	486
64	475
75	487
8	372
86	524
97	507
